"";"kolarstwo1";"kolarstwo2";"kolarstwo3";"kolarstwo4";"muzyka1";"muzyka2";"muzyka3";"muzyka4";"Pi³kaNo¿na1";"Pi³kaNo¿na2";"Pi³kaNo¿na3";"Pi³kaNo¿na4";"SprzêtElektroniczny1";"SprzêtElektroniczny2";"SprzêtElektroniczny3";"SprzêtElektroniczny4";"Szachy1";"Szachy2";"Szachy3";"Szachy4"
"abductionznanym";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"abdukcja";0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
"abdukcjapierwotna";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"abdukcyjne";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"absolutny";0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"absolwent";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"abyœ";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"academy";0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
"achroniczna";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"achroniczn¹";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"actsign";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"adaptacja";0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adaptacyjny";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adenozynotrójfosforan";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adres";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"adryañski";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"aerobowy";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aerofon";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"afrykañski";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"agencies";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"agency";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"akademia";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"akademicki";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"akcent";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akceptacja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"akcja";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"akord";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"akt";0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1
"aktor";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aktualizacja";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"aktualny";0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0
"aktywnoœæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"aktywowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"akumulator";0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0
"akurat";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
